FID,community,transaction prices,total square footage,avg square footage,total amount,volume,latitude,longitude,INPUT_FID,DISTANCE to SP,Distance to ZGC
0,___,56867.75758,3121.1,94.57878788,175396490.9,33,40.045743,116.327245,0,3782.725266,7228.170548
1,____,48520.57895,1536.6,80.87368421,74030777.8,19,40.038225,116.336347,1,4521.156064,6561.689152
2,____,62488.39535,2468.34,57.40325581,149184000.6,43,40.051171,116.32705,2,3851.321416,7822.335224
3,___,52573.30508,3541.91,60.03237288,184490045.6,59,40.0471268,116.3284225,3,3885.713226,7394.161845
4,_____,46202.35088,4581.07,80.36964912,204723314.6,57,40.0463757,116.3322084,4,4170.529873,7365.102121
5,_____2__,53601.5,123.2,61.6,6625097.8,2,40.049769,116.325588,5,3709.516589,7653.061477
6,_______,53223.5,1188.77,59.4385,62705573.13,20,40.038875,116.33579,6,4469.229302,6619.543385
7,___,51580.90667,6752.49,90.0332,345771627.9,75,40.038879,116.32964,7,3997.133,6509.804371
8,_____,52261.8,571.4,57.14,29925178.2,10,40.043978,116.330147,8,4000.538357,7072.992516
9,___,50972.30769,795.62,61.20153846,40318428.29,13,40.0542509,116.3278012,9,3994.729024,8169.070227
10,___13__,70407.5,217.6,54.4,15350091,4,39.955332,116.335013,10,10743.67837,3355.514795
11,_____,91567.2,993.64,66.24266667,91840472.86,15,39.946637,116.326524,11,11400.77337,3997.367351
12,_____,78222.375,504.6,63.075,40150264.5,8,39.950103,116.336695,12,11327.61222,3926.439709
13,___,69162,638.69,106.4483333,43345276.84,6,39.9441715,116.3503814,13,12374.18948,5042.77827
14,_____,80411,485.66,69.38,40080220.12,7,39.922629,116.336961,14,14184.89853,6782.275941
15,___12__,85510.83333,461.6,76.93333333,38590189.5,6,39.95015234,116.3200568,15,10873.80337,3510.934265
16,___1_,62923.66667,178,59.33333333,11180094.8,3,39.95016213,116.3196457,16,10863.37584,3505.105865
17,___20__,71659.6,305.1,61.02,22600107.42,5,39.95416405,116.3263678,17,10610.02955,3193.900478
18,___21__,67454.84615,762.1,58.62307692,51358272.8,13,39.95442989,116.3264455,18,10584.49189,3167.931518
19,_____,70627.75,450,56.25,31760197.8,8,39.9265171,116.3320216,19,13655.41189,6267.562238
20,___3__,64247.75,229.24,57.31,14728154.21,4,39.953217,116.335543,20,10975.02691,3579.822313
21,____66__,74605.33333,174.1,58.03333333,12940034.7,3,39.95599455,116.3286802,21,10484.93195,3068.168411
22,____72__,73677.15385,835.52,64.27076923,61285408.74,13,39.95529653,116.3255685,22,10470.58043,3054.96702
23,_________,36886,594.23,198.0766667,21500349.64,3,39.94763499,116.3187302,23,11111.81444,3774.09753
24,______24_,68319.5,116.6,58.3,7966053.7,2,39.97817819,116.3111525,24,7701.771162,387.6533916
25,______40_,79140.5,859.9,61.42142857,68330353.3,14,39.94589238,116.3190276,25,11304.04421,3968.952194
26,___5__,72226,112,56,8060046.2,2,39.954425,116.33452,26,10820.35473,3424.081656
27,___7__,70780.4,266.3,53.26,18880127.6,5,39.95579,116.333435,27,10647.81582,3250.768229
28,___9__,73710,52.3,52.3,3855033,1,39.953217,116.335543,28,10975.02691,3579.822313
29,____17__,84985.5,249.4,62.35,21885173.1,4,39.953414,116.333967,29,10906.33475,3502.707925
30,____,63163.5,985.52,98.552,61950577.09,10,39.954586,116.33406,30,10789.71725,3391.245562
31,___6__,83843.6,312.6,62.52,26300091.7,5,39.95183,116.33032,31,10961.61988,3543.863078
32,_____,72724.33333,531.7,59.07777778,38130369.1,9,39.974865,116.35596,32,9716.108417,3398.525547
33,___14__,66972.42857,380,54.28571429,25260163.7,7,39.971862,116.366191,33,10475.91343,4246.810505
34,___18__,66995,466.6,66.65714286,31905255.6,7,39.970915,116.365946,34,10544.0171,4256.010287
35,___8__,71753,657.63,73.07,47090364.64,9,39.973374,116.366872,35,10383.31071,4259.616187
36,_____27__,67917,48,48,3260016,1,39.970925,116.3698189,36,10738.26253,4545.000041
37,____,72177.40816,3969.28,81.00571429,288480239.5,49,39.974569,116.358083,37,9844.072831,3566.188452
38,____2__,76406,77.22,77.22,5900071.32,1,39.97239149,116.3483155,38,9587.729,2905.683829
39,______69__,80092,95.89,95.89,7680021.88,1,39.97027934,116.3642479,39,10514.68248,4150.11951
40,____,69491.91667,827.42,68.95166667,54295467.67,12,39.971827,116.363686,40,10354.2135,4060.222179
41,____10__,66453.9375,1918.51,119.906875,118445873.5,16,39.95186772,116.2945263,41,10270.76997,3580.275255
42,____1__,74649,556.04,55.604,41693329.25,10,39.95473078,116.2938063,42,9948.470853,3316.361641
43,___23__,68371.75,434.18,108.545,29590199.62,4,39.95126189,116.2950484,43,10342.49292,3626.201365
44,____6__,86121.92857,1242.95,88.78214286,106945557.3,14,39.95467023,116.2965681,44,9982.953394,3231.828769
45,____,75726.68493,4510.52,61.78794521,341230939.1,73,39.9583787,116.297391,45,9584.990413,2830.401612
46,___17__,77599,175.9,87.95,13680142.1,2,39.95193169,116.2956961,46,10275.10171,3538.279976
47,___7__,72104.35714,962.61,68.75785714,69695366.99,14,39.95207134,116.2971592,47,10275.09218,3482.182979
48,_____23__,76108.3,638.22,63.822,48535346.26,10,39.95211073,116.3004256,48,10309.48593,3396.558649
49,_____27__,83239.5,106.5,53.25,8860066.6,2,39.94660772,116.3033273,49,10949.89213,3936.14689
50,___3__,78339.66667,197.2,65.73333333,15130094.4,3,39.95131613,116.2984757,50,10372.86734,3526.670224
51,____,65732.11111,731.73,81.30333333,47025349.68,9,39.920944,116.293966,51,13681.48509,6873.948508
52,____52__,58377.14286,590.58,84.36857143,33540276.35,7,39.922587,116.290539,52,13478.7295,6759.647265
53,___,89555.93333,900.6,60.04,80096497.3,15,39.926995,116.306017,53,13131.48951,6065.273165
54,___,58362.57447,2838.46,60.39276596,165065430.1,47,39.921775,116.292721,54,13581.38522,6805.59952
55,____,62005.22222,2053.89,114.105,129030861.2,18,39.923876,116.3026316,55,13434.25907,6437.981393
56,_____,70885.12903,7341.61,59.20653226,521139663.4,124,39.930344,116.290009,56,12616.68509,5944.010761
57,___44__,71905.25,207,51.75,14503107.6,4,39.929685,116.301587,57,12784.2803,5810.546474
58,_____,67413.36842,3397.72,59.60912281,226109029.7,57,39.92915,116.287589,58,12737.13412,6128.433327
59,___50__,65024,73.05,73.05,4750003.2,1,39.929006,116.30241,59,12867.97101,5875.738582
60,___62__,81351.5,84.5,42.25,6900045.4,2,39.926541,116.301286,60,13126.85682,6159.159714
61,_____30__,74325,162.8,162.8,12100110,1,39.9310459,116.315075,61,12824.59477,5592.786314
62,____,59653.55102,3302.7,67.40204082,196032386.7,49,39.92531853,116.2755186,62,13144.7982,6873.519343
63,____,59136.68519,3618.75,67.01388889,211548476.8,54,39.92135193,116.2811102,63,13584.84195,7112.633607
64,____,47488.09231,4403.83,67.75123077,224076114.7,65,39.92805577,116.2704938,64,12853.67217,6780.164771
65,____,89048.6,243.6,48.72,21240113.7,5,39.92662459,116.2976135,65,13082.34168,6198.689246
66,____1__,39391,98.5,98.5,3880013.5,1,39.93053664,116.2724904,66,12571.91729,6464.213042
67,_____,58412.55,2760.44,69.011,160737320,40,39.92824277,116.271687,67,12828.83297,6717.398413
68,___,67852.75,525.63,131.4075,35650221.61,4,39.92662587,116.2760438,68,12999.01669,6724.821285
69,___46__,56456.72727,1070.2,97.29090909,60160575.03,11,39.931993,116.283702,69,12408.44375,5939.310049
70,___26__,92510.88889,544.3,60.47777778,50630209.1,9,39.92615563,116.2993561,70,13150.01548,6225.288744
71,___38__,84381.2,284.09,56.818,23825079.44,5,39.92683721,116.2995831,71,13077.10462,6147.719291
72,_____,73752.11111,1045.35,116.15,77068531.05,9,39.929433,116.280417,72,12686.92515,6300.691456
73,________,70956.85714,381.1,54.44285714,27120120,7,39.9298331,116.3003643,73,12755.05179,5809.623719
74,____,64149.08333,694.9,57.90833333,44480300.4,12,39.9243888,116.3025722,74,13377.23544,6382.086208
75,______,77746.42857,894.85,127.8357143,65940543.17,7,39.91752294,116.2946324,75,14064.41638,7234.95377
76,______,68472,157,157,10750104,1,39.92668524,116.2871256,76,13008.48603,6399.30677
77,_____105__,89428.9,1334.23,66.7115,117306793,20,39.92773728,116.3011862,77,12994.20246,6029.015278
78,___82__,59561.3,775.45,77.545,46070376.99,10,39.92792,116.283357,78,12859.62932,6369.004655
79,___,76563.25,619.27,51.60583333,47189362.19,12,39.91958483,116.2993949,79,13874.6884,6944.794745
80,___96__,59283.71429,781.59,111.6557143,45830468.87,7,39.926603,116.285733,80,13012.48068,6442.666355
81,____,48094.33333,1038,173,48610448.03,6,39.926927,116.28711,81,12981.6163,6374.211138
82,___47__,72025,52.76,52.76,3800039,1,39.9242519,116.306228,82,13434.71672,6367.276551
83,___95__,72453.375,612.94,76.6175,44670375.84,8,39.924361,116.2914579,83,13287.4476,6550.982893
84,____,57950.72464,4170.63,60.44391304,243717115.5,69,39.923876,116.3026316,84,13434.25907,6437.981393
